Site	genome_id	genome_name	accession	feature_type	patric_id	start	end	strand	gene	product	global_start	global_end
BA000007:4834988:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	rRNA	fig|386585.154.rna.108	4833769	4836675	+	rrlA	LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	4929796	4932702
BA000007:4834993:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	repeat_region	fig|386585.154.repeat.181	4831412	4836964	+		repeat region	4927439	4932991
BA000007:4834993:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	rRNA	fig|386585.154.rna.108	4833769	4836675	+	rrlA	LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	4929796	4932702
BA000007:4979174:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	repeat_region	fig|386585.154.repeat.183	4975691	4981078	+		repeat region	5071718	5077105
BA000007:4979174:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	rRNA	fig|386585.154.rna.112	4977950	4980856	+	rrlB	LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	5073977	5076883
BA000007:4979169:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	repeat_region	fig|386585.154.repeat.183	4975691	4981078	+		repeat region	5071718	5077105
BA000007:4979169:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	rRNA	fig|386585.154.rna.112	4977950	4980856	+	rrlB	LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	5073977	5076883
BA000007:682086:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.634	681250	684387	+	cusA	Copper/silver efflux RND transporter, transmembrane protein CusA	777277	780414
BA000007:2509975:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:2851175:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:3021361:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:3073157:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:5149157:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:4450423:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:2466515:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:2404856:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:4450435:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:2822575:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	-1	-1	-1	-1	+	-1	-1	-1	-1
BA000007:4667621:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.4850	4667579	4668679	-	dnaN	DNA polymerase III beta subunit (EC 2.7.7.7)	4763606	4764706
BA000007:3045197:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.3234	3044768	3045871	-	ompC	Outer membrane porin OmpC	3140795	3141898
BA000007:4877812:-1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.5042	4877754	4877870	-		FIG00643742: hypothetical protein	4973781	4973897
BA000007:2458097:1	386585.154	Escherichia coli O157:H7 str. Sakai	BA000007	CDS	fig|386585.154.peg.2574	2457735	2458667	-	ydjH	Uncharacterized sugar kinase YdjH	2553762	2554694
CP001104:542969:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.507	541772	542971	+		hypothetical protein	541772	542971
CP001104:18188:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	repeat_region	fig|515620.21.repeat.1	15219	20627	+		repeat region	15219	20627
CP001104:18188:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	rRNA	fig|515620.21.rna.4	17613	20502	+		LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	17613	20502
CP001104:399348:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.359	399114	399905	+		hypothetical protein	399114	399905
CP001104:842726:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.796	841934	843052	+		Flagellar biosynthesis protein FlhB	841934	843052
CP001104:248579:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1252582:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1813617:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1811874:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1979079:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1979081:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1027149:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1893611:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1893615:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001104:1335374:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.1255	1335365	1336705	-		Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	1335365	1336705
CP001104:1425156:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.1342	1425072	1426787	-		DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13)	1425072	1426787
CP001104:2080335:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001104	CDS	fig|515620.21.peg.1957	2077896	2080682	-		hypothetical protein	2077896	2080682
CP001106:204276:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001106:361460:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001106:361465:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001106:459324:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001106:459332:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	-1	-1	-1	-1	+	-1	-1	-1	-1
CP001106:372316:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	CDS	fig|515620.21.peg.2517	372146	373219	-		Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	2576791	2577864
CP001106:107147:-1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	CDS	fig|515620.21.peg.2239	106326	107732	-		Iron-sulfur cluster assembly protein SufB	2310971	2312377
CP001106:107143:1	515620.21	[Eubacterium] eligens ATCC 27750	CP001106	CDS	fig|515620.21.peg.2239	106326	107732	-		Iron-sulfur cluster assembly protein SufB	2310971	2312377
CP012938:2175028:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.1811	2171649	2175662	+	tmoS_6	Periplasmic ligand-binding sensor domain COG3292 / BaeS-type histidine kinase / OmpR-type DNA-binding response regulator	2171649	2175662
CP012938:4056587:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3261	4056431	4057345	+		hypothetical protein	4056431	4057345
CP012938:4499893:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3593	4499373	4499906	+		Colicin V production protein	4499373	4499906
CP012938:4499893:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3594	4499887	4501386	+	sufB	Iron-sulfur cluster assembly protein SufB	4499887	4501386
CP012938:3958279:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.58	3956247	3958712	+		repeat region	3956247	3958712
CP012938:3958664:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.58	3956247	3958712	+		repeat region	3956247	3958712
CP012938:3958667:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.58	3956247	3958712	+		repeat region	3956247	3958712
CP012938:5432418:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.82	5432374	5434839	+		repeat region	5432374	5434839
CP012938:5432420:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.82	5432374	5434839	+		repeat region	5432374	5434839
CP012938:5432799:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	repeat_region	fig|28116.7.repeat.82	5432374	5434839	+		repeat region	5432374	5434839
CP012938:3730483:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.3057	3729713	3730486	+	rebM	FIG01180763: hypothetical protein	3729713	3730486
CP012938:6097548:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.4775	6096517	6098112	+		Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	6096517	6098112
CP012938:135910:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:360094:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:374092:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:868281:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:868284:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1148350:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1148357:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1647205:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1905733:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1905777:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1905782:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2216486:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2769902:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:2776183:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:3915968:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:4698368:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:4915105:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5046633:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5046640:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5851431:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1991523:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:5865861:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:3433414:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1444540:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1380964:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1444551:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:6129385:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:1905778:-1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	-1	-1	-1	-1	+	-1	-1	-1	-1
CP012938:3639340:1	28116.7	Bacteroides ovatus strain ATCC 8483	CP012938	CDS	fig|28116.7.peg.2981	3639331	3639969	-		Uncharacterized SAM-dependent O-methyltransferase	3639331	3639969
CP027002:3104911:1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	repeat_region	fig|411470.47.repeat.75	3103153	3108617	+		repeat region	3103153	3108617
CP027002:3104911:1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	misc_RNA	fig|411470.47.rna.71	3103474	3105011	+		16S ribosomal RNA	3103474	3105011
CP027002:3222428:-1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.3314	3220857	3222944	+	ppk1	Polyphosphate kinase (EC 2.7.4.1)	3220857	3222944
CP027002:2334710:-1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	-1	-1	-1	-1	+	-1	-1	-1	-1
CP027002:2915264:-1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	-1	-1	-1	-1	+	-1	-1	-1	-1
CP027002:2915259:1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	-1	-1	-1	-1	+	-1	-1	-1	-1
CP027002:2679191:-1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	-1	-1	-1	-1	+	-1	-1	-1	-1
CP027002:1938925:1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	-1	-1	-1	-1	+	-1	-1	-1	-1
CP027002:1149992:-1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.1211	1149422	1150252	-		Zinc ABC transporter, permease protein ZnuB	1149422	1150252
CP027002:1149996:1	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.1211	1149422	1150252	-		Zinc ABC transporter, permease protein ZnuB	1149422	1150252
CP040530:288485:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.269	287355	288677	+		hypothetical protein	320391	321713
CP040530:288476:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.269	287355	288677	+		hypothetical protein	320391	321713
CP040530:1174741:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1004	1174673	1174840	+		hypothetical protein	1207709	1207876
CP040530:1375116:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1147	1374540	1375118	+		Rubrerythrin	1407576	1408154
CP040530:2927051:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2308	2926259	2927254	+		hypothetical protein	2959295	2960290
CP040530:2927047:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2308	2926259	2927254	+		hypothetical protein	2959295	2960290
CP040530:3957674:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3208	3956946	3958289	+		Vitellogenin II precursor	3989982	3991325
CP040530:1111808:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.964	1110913	1111809	+		putative chitobiase	1143949	1144845
CP040530:2932472:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2311	2929911	2932901	+		hypothetical protein	2962947	2965937
CP040530:1485373:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1250	1485189	1486820	+		hypothetical protein	1518225	1519856
CP040530:1485379:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1250	1485189	1486820	+		hypothetical protein	1518225	1519856
CP040530:298221:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:1624875:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:1624871:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:1674086:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:2904561:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:3489259:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5089925:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5290041:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5442253:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5442232:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5610291:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5610294:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:1537827:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:2545276:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:3546770:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:3560429:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:3825260:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5212961:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:4221602:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:882200:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:1008643:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:3812978:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:5217033:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:21975:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:21963:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:882173:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:4449429:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:3145047:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	-1	-1	-1	-1	+	-1	-1	-1	-1
CP040530:2918818:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2304	2918804	2918935	-		hypothetical protein	2951840	2951971
CP040530:4212978:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3405	4211879	4212979	-		putative heme biosynthesis protein	4244915	4246015
CP040530:4212978:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3406	4212976	4213428	-		hypothetical protein	4246012	4246464
CP040530:4757668:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3907	4757664	4760066	-		Putative outer membrane protein, probably involved in nutrient binding	4790700	4793102
CP040530:5610352:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.4653	5610315	5611880	-		hypothetical protein	5643351	5644916
CP040530:882584:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.795	882212	883402	-		Putative outer membrane protein	915248	916438
CP040530:2277160:-1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1832	2277138	2277422	-		hypothetical protein	2310174	2310458
CP040530:2277167:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1832	2277138	2277422	-		hypothetical protein	2310174	2310458
CP040530:5990434:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.4957	5990168	5992990	-		Autotransporter adhesin	6023204	6026026
CP040530:2538901:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2041	2538896	2540107	-		Integrase	2571932	2573143
CP040530:4814324:1	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3940	4810129	4814367	-		beta-galactosidase	4843165	4847403
CP042285:487199:1	823.3647	Parabacteroides distasonis strain APCS2/PD	CP042285	CDS	fig|823.3647.peg.422	486041	487204	+		8-amino-7-oxononanoate synthase (EC 2.3.1.47)	490189	491352
CP042285:1728461:1	823.3647	Parabacteroides distasonis strain APCS2/PD	CP042285	CDS	fig|823.3647.peg.1525	1727805	1729349	+		Putative NADH-dependent dehydrogenase	1731953	1733497
CP042285:1728455:-1	823.3647	Parabacteroides distasonis strain APCS2/PD	CP042285	CDS	fig|823.3647.peg.1525	1727805	1729349	+		Putative NADH-dependent dehydrogenase	1731953	1733497
CP042285:3093746:1	823.3647	Parabacteroides distasonis strain APCS2/PD	CP042285	CDS	fig|823.3647.peg.2673	3090253	3094617	+		T6SS PAAR-repeat protein / RhaS protein	3094401	3098765
CP042285:3093741:-1	823.3647	Parabacteroides distasonis strain APCS2/PD	CP042285	CDS	fig|823.3647.peg.2673	3090253	3094617	+		T6SS PAAR-repeat protein / RhaS protein	3094401	3098765
