Site	genome_id	genome_name	accession	feature_type	patric_id	start	end	strand	gene	product	global_start	global_end
CP027002:627605-627617-627777-627789	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.682	625924	628968	+		FIG01032097: hypothetical protein	625924	628968
CP027002:682940-682951-682996-683007	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.745	682455	683387	+		FIGfam003972: membrane protein	682455	683387
CP027002:3443561-3443574-3443610-3443623	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	-1	-1	-1	-1	+	-1	-1	-1	-1
CP027002:1176402-1176415-1176497-1176510	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.1229	1176180	1176566	-		hypothetical protein	1176180	1176566
CP027002:1474985-1475000-1475132-1475147	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.1565	1474860	1475183	-		Transcriptional regulator, PadR family	1474860	1475183
CP027002:2205549-2205563-2205691-2205705	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.2294	2205490	2206878	-	hydA	Dihydropyrimidinase (EC 3.5.2.2)	2205490	2206878
CP027002:2233706-2233731-2233836-2233861	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.2323	2232976	2233773	-		hypothetical protein	2232976	2233773
CP027002:4888-4900-5060-5072	411470.47	[Ruminococcus] gnavus ATCC 29149	CP027002	CDS	fig|411470.47.peg.7	3710	6754	-		FIG01032097: hypothetical protein	3710	6754
CP040530:1513135-1513146-1513553-1513564	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1267	1513317	1515521	+		Peptidase, S41 family	1546353	1548557
CP040530:1555314-1555326-1555494-1555506	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.1289	1554309	1555844	+		Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	1587345	1588880
CP040530:2901530-2901545-2901948-2901963	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2286	2901737	2901970	+		hypothetical protein	2934773	2935006
CP040530:3143007-3143020-3143201-3143214	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2484	3142950	3143411	+		hypothetical protein	3175986	3176447
CP040530:3235091-3235104-3235303-3235316	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2575	3233812	3235551	+		hypothetical protein	3266848	3268587
CP040530:3496509-3496521-3496626-3496638	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.2789	3496278	3496826	+		RNA polymerase ECF-type sigma factor	3529314	3529862
CP040530:365518-365537-365798-365817	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.329	365672	365809	+		hypothetical protein	398708	398845
CP040530:3911761-3911772-3911966-3911977	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3181	3910523	3912046	+		hypothetical protein	3943559	3945082
CP040530:414186-414210-414471-414495	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.384	414346	414534	+		hypothetical protein	447382	447570
CP040530:4245879-4245893-4246000-4246014	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3440	4245385	4245963	+		hypothetical protein	4278421	4278999
CP040530:4313961-4313981-4314228-4314248	818.1357	Bacteroides thetaiotaomicron strain DSM 2079	CP040530	CDS	fig|818.1357.peg.3497	4313952	4314080	+		hypothetical protein	4346988	4347116
